id,primera_fecha,ult_fecha,tiempo_serv_trab,fecha_inidi,ent_pago_des,neto_pagar,ultimo_sueldo,ahorros_estimados,id_estado,estado,q25,q50,q75,fijo_cat_q25,fijo_mensual_q25,fijo_ingreso_q25,fijo_cat_q50,fijo_mensual_q50,fijo_ingreso_q50,fijo_cat_q75,fijo_mensual_q75,fijo_ingreso_q75
137414135,2001-09-01,2024-03-31,221028,2024-04-01,BAJA CALIFORNIA,20575.9,32432.14285714286,1556742.8571428573,2,BAJA CALIFORNIA,2173490.75,3273100.0,5765262.760000001,14.281327644853015,24545.681428571428,65455.15047619047,14.201477069359324,36819.53761904762,98185.43365079365,14.133151787649476,64637.09904761905,172365.59746031748
137247906,2005-08-16,2020-12-31,150707,2021-01-01,COLIMA,7112.63,21425.714285714286,1028434.2857142857,5,COLIMA,1280000.0,2225000.0,3912500.0,14.446857711317126,14572.523333333333,38860.06222222222,14.275831382421886,25120.62857142857,66988.34285714285,14.175657814098846,43956.53047619048,117217.41460317459
137316471,1999-01-01,2021-03-31,220626,2021-04-01,AGUASCALIENTES,8525.45,11948.57142857143,573531.4285714286,1,AGUASCALIENTES,1900000.0,2959500.0,7987500.0,14.315508559972852,21492.973333333335,57314.595555555556,14.218214316596649,33319.12952380952,88851.01206349206,14.077186809399558,97521.30523809523,260056.813968254
137434129,2005-02-19,2019-12-31,150029,2020-01-01,YUCATAN,8472.07,29469.6,1414540.7999999998,31,YUCATAN,1290252.75,2637824.0,6500000.0,14.443665008260552,14686.965714285712,39165.241904761904,14.239507438355266,29728.577142857142,79276.20571428572,14.123000803744906,72838.24761904762,194235.326984127
137273465,1998-03-16,2021-09-30,150017,2021-10-01,ORIENTE DE LA CDMX,8525.45,16728.0,802944.0,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.111487890584028,75040.98476190477,200109.2926984127,14.057655740220856,142213.57047619048,379236.187936508
137338046,1998-12-01,2023-12-31,250512,2024-01-01,AGUASCALIENTES,6632.88,11152.0,535296.0,1,AGUASCALIENTES,1900000.0,2959500.0,7987500.0,14.315508559972852,21492.973333333335,57314.595555555556,14.218214316596649,33319.12952380952,88851.01206349206,14.075458527355412,98015.90714285715,261375.75238095238
137520270,1999-01-01,2019-01-15,200400,2019-01-16,ORIENTE DE LA CDMX,5999.25,13382.4,642355.2,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.101315666445362,77118.31380952381,205648.8368253968,14.053013998774682,144290.89857142858,384775.7295238095
136864282,2000-03-16,2015-12-31,160009,2016-01-01,SONORA,4004.33,15931.42857142857,764708.5714285714,26,SONORA,2749128.0,3785630.5,6682627.5,14.231575362294397,30970.954761904763,82589.2126984127,14.180087307306318,42540.41095238095,113441.09587301586,14.1055534152325,77951.36857142857,207870.31619047618
137490373,2000-01-01,2019-01-31,190411,2019-02-01,PUEBLA,14153.2,23222.0,1114656.0,21,PUEBLA,2351446.0,3425000.0,5875000.0,14.263353006018141,26532.021428571425,70752.05714285714,14.194472851735899,38515.04761904762,102706.79365079364,14.131474637903327,65861.98761904762,175631.96698412698
137347428,1999-03-01,2023-12-31,250212,2024-01-01,ORIENTE DE LA CDMX,25343.4,33734.0,1619232.0,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.123022120458591,72818.7138095238,194183.23682539683,14.083545033122602,131654.30952380953,351078.1587301587
137319284,2001-01-16,2023-03-31,220610,2023-04-01,SONORA,6072.02,12098.57142857143,580731.4285714286,26,SONORA,2749128.0,3785630.5,6682627.5,14.231575362294397,30970.954761904763,82589.2126984127,14.180087307306318,42540.41095238095,113441.09587301586,14.094547391041644,80331.24523809523,214216.65396825396
137067863,1999-10-16,2016-05-31,161013,2016-06-01,EL ESTADO DE MEXICO,10448.1,18727.636363636364,898926.5454545454,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.137697448005632,61536.70666666667,164097.88444444444
137437558,2000-04-01,2019-04-07,190316,2019-04-08,PONIENTE DE LA CDMX,8525.45,13940.0,669120.0,9,PONIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.1029724483986,76772.09285714285,204725.58095238096,14.05377827636607,143944.6776190476,383852.47365079366
